Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
CUST-00096,17,17,178244.83250000002,5,5,5,555,15,Champions
CUST-00099,458,2,43613.92125000001,2,2,4,224,8,Needs Attention
CUST-00100,744,1,3008.29,1,1,1,111,3,Lost Customers
CUST-00102,760,1,4474.81,1,1,1,111,3,Lost Customers
CUST-00104,61,10,62528.96125000001,4,5,4,454,13,Champions
CUST-00105,19,2,73758.29125000001,5,2,4,524,11,Potential Loyalists
CUST-00106,43,2,31718.61,4,2,3,423,9,Potential Loyalists
CUST-00107,154,5,90291.49,3,4,5,345,12,Loyal Customers
CUST-00108,451,1,1651.78,2,1,1,211,4,Lost Customers
CUST-00110,919,1,859.7,1,1,1,111,3,Lost Customers
CUST-00111,365,1,18340.01,2,1,3,213,6,Needs Attention
CUST-00113,235,4,49953.28,3,4,4,344,11,Loyal Customers
CUST-00114,1085,1,8465.81,1,1,2,112,4,Lost Customers
CUST-00115,183,1,2784.82,3,1,1,311,5,Needs Attention
CUST-00116,204,6,66522.48125000001,3,4,4,344,11,Loyal Customers
CUST-00117,6,39,595104.3,5,5,5,555,15,Champions
CUST-00118,385,5,85800.60125,2,4,5,245,11,At Risk
CUST-00122,431,4,86702.95125000001,2,4,5,245,11,At Risk
CUST-00123,670,1,18387.46,1,1,3,113,5,Needs Attention
CUST-00124,395,4,48589.311250000006,2,4,4,244,10,At Risk
CUST-00126,1066,1,3734.2,1,1,1,111,3,Lost Customers
CUST-00128,526,1,10989.16,2,1,2,212,5,Lost Customers
CUST-00129,438,1,11825.55,2,1,2,212,5,Lost Customers
CUST-00130,82,2,19619.0,4,2,3,423,9,Potential Loyalists
CUST-00131,597,2,11918.97,2,2,2,222,6,Lost Customers
CUST-00135,52,2,13082.710000000001,4,2,2,422,8,Potential Loyalists
CUST-00137,360,1,1820.59,2,1,1,211,4,Lost Customers
CUST-00138,543,1,13369.83,2,1,2,212,5,Lost Customers
CUST-00140,7,46,664868.51125,5,5,5,555,15,Champions
CUST-00142,9,26,314084.5225,5,5,5,555,15,Champions
CUST-00143,401,1,23582.47,2,1,3,213,6,Needs Attention
CUST-00148,899,1,8328.2,1,1,2,112,4,Lost Customers
CUST-00150,49,4,46133.31,4,4,4,444,12,Champions
CUST-00151,54,3,64622.99125000001,4,3,4,434,11,Loyal Customers
CUST-00152,446,1,7500.39,2,1,2,212,5,Lost Customers
CUST-00153,372,1,3614.13,2,1,1,211,4,Lost Customers
CUST-00156,298,1,23257.91,3,1,3,313,7,Needs Attention
CUST-00157,76,1,2607.28,4,1,1,411,6,Potential Loyalists
CUST-00158,410,2,8782.21,2,2,2,222,6,Lost Customers
CUST-00159,600,2,1707.04,2,2,1,221,5,Lost Customers
CUST-00160,7,25,247888.40125,5,5,5,555,15,Champions
CUST-00161,74,10,67449.5,4,5,4,454,13,Champions
CUST-00164,1,328,3986013.4362500003,5,5,5,555,15,Champions
CUST-00166,758,1,1120.58,1,1,1,111,3,Lost Customers
CUST-00167,87,5,60486.84,4,4,4,444,12,Champions
CUST-00169,1,9,145692.14250000002,5,5,5,555,15,Champions
CUST-00170,417,4,6197.04,2,4,2,242,8,Needs Attention
CUST-00171,342,2,4751.05,3,2,1,321,6,Needs Attention
CUST-00172,938,1,861.13,1,1,1,111,3,Lost Customers
CUST-00173,42,10,103783.01,4,5,5,455,14,Champions
CUST-00174,18,7,26531.55,5,5,3,553,13,Loyal Customers
CUST-00175,790,1,39839.83,1,1,3,113,5,Needs Attention
CUST-00176,469,2,11625.02,2,2,2,222,6,Lost Customers
CUST-00177,44,5,61533.24125000001,4,4,4,444,12,Champions
CUST-00178,95,2,16559.620000000003,4,2,2,422,8,Potential Loyalists
CUST-00179,6,28,390321.44375000003,5,5,5,555,15,Champions
CUST-00184,85,6,39492.65,4,4,3,443,11,Loyal Customers
CUST-00186,28,4,25431.41,5,4,3,543,12,Loyal Customers
CUST-00187,46,15,160211.4525,4,5,5,455,14,Champions
CUST-00194,595,1,7648.28,2,1,2,212,5,Lost Customers
CUST-00195,636,2,2275.83,1,2,1,121,4,Lost Customers
CUST-00196,107,3,46645.69125,4,3,4,434,11,Loyal Customers
CUST-00197,430,2,5471.01,2,2,2,222,6,Lost Customers
CUST-00198,33,15,205176.46375000002,5,5,5,555,15,Champions
CUST-00200,572,1,5091.58,2,1,2,212,5,Lost Customers
CUST-00201,288,2,3558.08,3,2,1,321,6,Needs Attention
CUST-00202,18,11,214328.67250000002,5,5,5,555,15,Champions
CUST-00203,760,1,1447.96,1,1,1,111,3,Lost Customers
CUST-00204,994,2,44491.93125,1,2,4,124,7,Needs Attention
CUST-00205,259,1,1760.1,3,1,1,311,5,Needs Attention
CUST-00207,24,2,2163.91,5,2,1,521,8,Potential Loyalists
CUST-00209,11,22,209540.5425,5,5,5,555,15,Champions
CUST-00211,226,2,2322.7799999999997,3,2,1,321,6,Needs Attention
CUST-00212,65,11,160926.8825,4,5,5,455,14,Champions
CUST-00213,419,1,14772.72,2,1,2,212,5,Lost Customers
CUST-00214,361,3,86310.45125000001,2,3,5,235,10,At Risk
CUST-00215,65,1,4070.96,4,1,1,411,6,Potential Loyalists
CUST-00217,391,1,25501.29,2,1,3,213,6,Needs Attention
CUST-00218,89,2,5403.61,4,2,2,422,8,Potential Loyalists
CUST-00219,7,6,21242.43,5,4,3,543,12,Loyal Customers
CUST-00220,171,2,43397.54125,3,2,4,324,9,Needs Attention
CUST-00221,181,7,98452.28125,3,5,5,355,13,Loyal Customers
CUST-00222,24,16,213662.04375,5,5,5,555,15,Champions
CUST-00223,1095,1,984.01,1,1,1,111,3,Lost Customers
CUST-00225,648,1,9140.3,1,1,2,112,4,Lost Customers
CUST-00226,312,6,53265.32,3,4,4,344,11,Loyal Customers
CUST-00227,43,13,195639.37250000003,4,5,5,455,14,Champions
CUST-00229,13,11,117698.98,5,5,5,555,15,Champions
CUST-00232,957,1,2564.44,1,1,1,111,3,Lost Customers
CUST-00233,395,2,3093.17,2,2,1,221,5,Lost Customers
CUST-00234,8,8,187721.4425,5,5,5,555,15,Champions
CUST-00235,14,4,51537.881250000006,5,4,4,544,13,Champions
CUST-00236,301,7,123644.76,3,5,5,355,13,Loyal Customers
CUST-00238,264,1,10713.96,3,1,2,312,6,Needs Attention
CUST-00239,18,67,878873.06625,5,5,5,555,15,Champions
CUST-00240,12,7,82594.51,5,5,5,555,15,Champions
CUST-00241,40,4,70526.09,5,4,4,544,13,Champions
CUST-00244,53,3,25927.27,4,3,3,433,10,Loyal Customers
CUST-00245,19,12,123355.63125,5,5,5,555,15,Champions
CUST-00248,363,2,4607.110000000001,2,2,1,221,5,Lost Customers
CUST-00249,105,3,17892.39,4,3,3,433,10,Loyal Customers
CUST-00250,109,31,351243.16500000004,4,5,5,455,14,Champions
CUST-00252,737,1,3233.08,1,1,1,111,3,Lost Customers
CUST-00253,421,4,83441.43125,2,4,5,245,11,At Risk
CUST-00254,3,3,57758.17125000001,5,3,4,534,12,Loyal Customers
CUST-00255,16,1,5091.18,5,1,2,512,8,Potential Loyalists
CUST-00256,96,4,109887.75250000002,4,4,5,445,13,Champions
CUST-00257,76,2,9449.33,4,2,2,422,8,Potential Loyalists
CUST-00258,48,7,99613.93125,4,5,5,455,14,Champions
CUST-00259,19,4,51618.17,5,4,4,544,13,Champions
CUST-00260,754,2,45098.36125,1,2,4,124,7,Needs Attention
CUST-00262,706,2,41939.21125000001,1,2,4,124,7,Needs Attention
CUST-00263,776,2,3602.2299999999996,1,2,1,121,4,Lost Customers
CUST-00264,310,6,80740.71125000001,3,4,5,345,12,Loyal Customers
CUST-00265,239,3,72919.51125000001,3,3,4,334,10,Loyal Customers
CUST-00266,89,5,26195.18,4,4,3,443,11,Loyal Customers
CUST-00267,143,1,3386.89,3,1,1,311,5,Needs Attention
CUST-00268,13,2,13791.7,5,2,2,522,9,Potential Loyalists
CUST-00269,62,2,24682.66,4,2,3,423,9,Potential Loyalists
CUST-00270,10,7,56863.74,5,5,4,554,14,Champions
CUST-00271,5,38,489459.655,5,5,5,555,15,Champions
CUST-00272,111,1,1471.89,4,1,1,411,6,Potential Loyalists
CUST-00273,107,3,25276.57,4,3,3,433,10,Loyal Customers
CUST-00275,170,2,12755.099999999999,3,2,2,322,7,Needs Attention
CUST-00276,91,3,31327.04,4,3,3,433,10,Loyal Customers
CUST-00278,1078,1,2569.35,1,1,1,111,3,Lost Customers
CUST-00279,92,19,210545.97125,4,5,5,455,14,Champions
CUST-00281,20,10,96751.45999999999,5,5,5,555,15,Champions
CUST-00282,134,16,259739.37125,4,5,5,455,14,Champions
CUST-00283,960,1,41346.911250000005,1,1,4,114,6,Needs Attention
CUST-00284,82,3,56045.301250000004,4,3,4,434,11,Loyal Customers
CUST-00285,44,2,49528.79125,4,2,4,424,10,Potential Loyalists
CUST-00286,460,4,46600.36,2,4,4,244,10,At Risk
CUST-00287,894,2,22218.28,1,2,3,123,6,Needs Attention
CUST-00288,1055,1,436.73,1,1,1,111,3,Lost Customers
CUST-00289,842,1,41346.911250000005,1,1,4,114,6,Needs Attention
CUST-00292,3,1,2211.35,5,1,1,511,7,Potential Loyalists
CUST-00294,650,1,8644.29,1,1,2,112,4,Lost Customers
CUST-00296,350,6,87113.59,3,4,5,345,12,Loyal Customers
CUST-00297,652,1,4199.22,1,1,1,111,3,Lost Customers
CUST-00298,5,3,47614.45,5,3,4,534,12,Loyal Customers
CUST-00299,26,16,162026.79125,5,5,5,555,15,Champions
CUST-00300,51,4,10848.599999999999,4,4,2,442,10,Needs Attention
CUST-00301,108,4,101292.65125,4,4,5,445,13,Champions
CUST-00302,365,2,2308.51,2,2,1,221,5,Lost Customers
CUST-00303,180,4,18430.01,3,4,3,343,10,Loyal Customers
CUST-00304,29,5,66214.52125,5,4,4,544,13,Champions
CUST-00305,9,1,18473.36,5,1,3,513,9,Potential Loyalists
CUST-00307,345,1,3455.04,3,1,1,311,5,Needs Attention
CUST-00309,117,1,11400.22,4,1,2,412,7,Potential Loyalists
CUST-00311,168,5,94091.2225,3,4,5,345,12,Loyal Customers
CUST-00314,902,1,16399.85,1,1,2,112,4,Lost Customers
CUST-00315,356,2,3683.9399999999996,2,2,1,221,5,Lost Customers
CUST-00317,343,1,2544.78,3,1,1,311,5,Needs Attention
CUST-00318,753,1,1767.99,1,1,1,111,3,Lost Customers
CUST-00319,402,1,13302.19,2,1,2,212,5,Lost Customers
CUST-00320,271,3,29144.190000000002,3,3,3,333,9,Loyal Customers
CUST-00322,338,1,7838.99,3,1,2,312,6,Needs Attention
CUST-00323,638,1,3993.59,1,1,1,111,3,Lost Customers
CUST-00325,156,1,6058.86,3,1,2,312,6,Needs Attention
CUST-00327,41,2,16060.09,5,2,2,522,9,Potential Loyalists
CUST-00328,26,39,433326.31375000003,5,5,5,555,15,Champions
CUST-00329,89,5,55291.270000000004,4,4,4,444,12,Champions
CUST-00330,337,13,119070.29,3,5,5,355,13,Loyal Customers
CUST-00331,694,1,3195.27,1,1,1,111,3,Lost Customers
CUST-00333,244,1,1837.6,3,1,1,311,5,Needs Attention
CUST-00334,174,1,16918.85,3,1,2,312,6,Needs Attention
CUST-00335,61,4,34641.64,4,4,3,443,11,Loyal Customers
CUST-00336,27,8,52388.46,5,5,4,554,14,Champions
CUST-00337,484,2,7207.990000000001,2,2,2,222,6,Lost Customers
CUST-00338,368,2,43273.42125000001,2,2,4,224,8,Needs Attention
CUST-00339,818,1,14133.08,1,1,2,112,4,Lost Customers
CUST-00340,185,2,16876.68,3,2,2,322,7,Needs Attention
CUST-00342,12,9,115179.43125000001,5,5,5,555,15,Champions
CUST-00343,347,1,3397.15,3,1,1,311,5,Needs Attention
CUST-00344,539,1,2874.9,2,1,1,211,4,Lost Customers
CUST-00345,36,20,187378.02125,5,5,5,555,15,Champions
CUST-00346,88,11,191567.95500000002,4,5,5,455,14,Champions
CUST-00347,580,3,52064.121250000004,2,3,4,234,9,At Risk
CUST-00348,761,1,2723.99,1,1,1,111,3,Lost Customers
CUST-00349,14,2,46016.201250000006,5,2,4,524,11,Potential Loyalists
CUST-00350,1050,1,2853.71,1,1,1,111,3,Lost Customers
CUST-00351,434,1,41346.911250000005,2,1,4,214,7,Needs Attention
CUST-00354,395,4,74050.45125,2,4,4,244,10,At Risk
CUST-00355,736,1,488.93,1,1,1,111,3,Lost Customers
CUST-00356,996,1,1641.35,1,1,1,111,3,Lost Customers
CUST-00357,356,1,41346.911250000005,2,1,4,214,7,Needs Attention
CUST-00358,884,1,4263.19,1,1,1,111,3,Lost Customers
CUST-00359,851,2,39442.61,1,2,3,123,6,Needs Attention
CUST-00360,766,1,12053.35,1,1,2,112,4,Lost Customers
CUST-00361,13,11,38043.53,5,5,3,553,13,Loyal Customers
CUST-00362,707,1,2791.03,1,1,1,111,3,Lost Customers
CUST-00363,11,6,97937.02,5,4,5,545,14,Champions
CUST-00367,95,8,116794.45999999999,4,5,5,455,14,Champions
CUST-00368,130,8,136989.68250000002,4,5,5,455,14,Champions
CUST-00369,8,3,25562.769999999997,5,3,3,533,11,Loyal Customers
CUST-00370,9,75,846976.34,5,5,5,555,15,Champions
CUST-00371,745,1,41346.911250000005,1,1,4,114,6,Needs Attention
CUST-00372,202,3,6822.84,3,3,2,332,8,Needs Attention
CUST-00373,966,1,5274.18,1,1,2,112,4,Lost Customers
CUST-00374,759,1,3920.97,1,1,1,111,3,Lost Customers
CUST-00375,445,1,2640.33,2,1,1,211,4,Lost Customers
CUST-00376,55,5,75351.57125000001,4,4,4,444,12,Champions
CUST-00377,381,4,20326.41,2,4,3,243,9,At Risk
CUST-00378,291,1,16949.32,3,1,3,313,7,Needs Attention
CUST-00379,358,1,4730.86,2,1,1,211,4,Lost Customers
CUST-00380,210,1,15520.8,3,1,2,312,6,Needs Attention
CUST-00381,302,3,16389.9,3,3,2,332,8,Needs Attention
CUST-00382,394,2,8031.95,2,2,2,222,6,Lost Customers
CUST-00383,57,3,7771.25,4,3,2,432,9,Needs Attention
CUST-00385,333,1,2948.71,3,1,1,311,5,Needs Attention
CUST-00387,348,8,104831.78125000001,3,5,5,355,13,Loyal Customers
CUST-00390,249,1,5841.8,3,1,2,312,6,Needs Attention
CUST-00391,700,1,2135.33,1,1,1,111,3,Lost Customers
CUST-00392,90,2,34726.89,4,2,3,423,9,Potential Loyalists
CUST-00393,2,4,87876.49250000001,5,4,5,545,14,Champions
CUST-00394,421,1,20406.14,2,1,3,213,6,Needs Attention
CUST-00397,253,4,59222.8,3,4,4,344,11,Loyal Customers
CUST-00398,173,5,83673.84125,3,4,5,345,12,Loyal Customers
CUST-00399,366,2,17894.46,2,2,3,223,7,Needs Attention
CUST-00401,4,1,24325.16,5,1,3,513,9,Potential Loyalists
CUST-00403,342,1,2659.91,3,1,1,311,5,Needs Attention
CUST-00404,502,1,41346.911250000005,2,1,4,214,7,Needs Attention
CUST-00406,814,2,4758.8099999999995,1,2,1,121,4,Lost Customers
CUST-00407,254,6,21733.09,3,4,3,343,10,Loyal Customers
CUST-00408,623,2,12800.320000000002,2,2,2,222,6,Lost Customers
CUST-00409,155,4,31272.19,3,4,3,343,10,Loyal Customers
CUST-00411,73,3,56666.57,4,3,4,434,11,Loyal Customers
CUST-00413,817,1,2141.47,1,1,1,111,3,Lost Customers
CUST-00414,570,3,28693.440000000002,2,3,3,233,8,At Risk
CUST-00416,446,4,41051.31,2,4,3,243,9,At Risk
CUST-00418,30,3,70442.57,5,3,4,534,12,Loyal Customers
CUST-00420,20,4,41174.159999999996,5,4,3,543,12,Loyal Customers
CUST-00422,815,1,1763.9,1,1,1,111,3,Lost Customers
CUST-00424,120,3,5727.0199999999995,4,3,2,432,9,Needs Attention
CUST-00427,244,3,24948.69,3,3,3,333,9,Loyal Customers
CUST-00430,431,1,41346.911250000005,2,1,4,214,7,Needs Attention
CUST-00431,71,6,57045.28125000001,4,4,4,444,12,Champions
CUST-00432,312,2,3070.95,3,2,1,321,6,Needs Attention
CUST-00433,965,1,15002.12,1,1,2,112,4,Lost Customers
CUST-00437,24,2,21591.61,5,2,3,523,10,Potential Loyalists
CUST-00438,96,2,7072.17,4,2,2,422,8,Potential Loyalists
CUST-00440,22,6,49377.62,5,4,4,544,13,Champions
CUST-00442,234,1,8659.56,3,1,2,312,6,Needs Attention
CUST-00443,14,2,12849.41,5,2,2,522,9,Potential Loyalists
CUST-00444,90,8,88899.64,4,5,5,455,14,Champions
CUST-00445,26,1,11763.61,5,1,2,512,8,Potential Loyalists
CUST-00447,7,2,12214.759999999998,5,2,2,522,9,Potential Loyalists
CUST-00448,74,2,9149.23,4,2,2,422,8,Potential Loyalists
CUST-00450,338,1,18770.15,3,1,3,313,7,Needs Attention
CUST-00451,57,3,124040.73375000001,4,3,5,435,12,Loyal Customers
CUST-00452,761,1,1645.5,1,1,1,111,3,Lost Customers
CUST-00453,180,10,107938.03,3,5,5,355,13,Loyal Customers
CUST-00455,40,20,346948.34500000003,5,5,5,555,15,Champions
CUST-00456,15,30,372655.50625000003,5,5,5,555,15,Champions
CUST-00457,560,1,1604.05,2,1,1,211,4,Lost Customers
CUST-00461,758,1,16652.31,1,1,2,112,4,Lost Customers
CUST-00462,211,2,11331.36,3,2,2,322,7,Needs Attention
CUST-00463,732,1,2461.55,1,1,1,111,3,Lost Customers
CUST-00464,76,3,7463.4400000000005,4,3,2,432,9,Needs Attention
CUST-00465,727,2,43048.72,1,2,4,124,7,Needs Attention
CUST-00466,398,1,5619.23,2,1,2,212,5,Lost Customers
CUST-00468,354,3,42700.18,3,3,4,334,10,Loyal Customers
CUST-00469,261,6,77556.97125,3,4,5,345,12,Loyal Customers
CUST-00472,199,1,1905.76,3,1,1,311,5,Needs Attention
CUST-00474,217,10,208262.09125,3,5,5,355,13,Loyal Customers
CUST-00475,225,3,19728.92,3,3,3,333,9,Loyal Customers
CUST-00476,48,5,80183.57125000001,4,4,5,445,13,Champions
CUST-00477,705,2,11639.28,1,2,2,122,5,Lost Customers
CUST-00481,36,3,4219.9400000000005,5,3,1,531,9,Needs Attention
CUST-00483,94,5,61818.48999999999,4,4,4,444,12,Champions
CUST-00484,362,2,41652.301250000004,2,2,4,224,8,Needs Attention
CUST-00486,423,1,461.55,2,1,1,211,4,Lost Customers
CUST-00487,155,4,57999.06,3,4,4,344,11,Loyal Customers
CUST-00488,7,2,16465.6,5,2,2,522,9,Potential Loyalists
CUST-00489,100,5,97971.81250000001,4,4,5,445,13,Champions
CUST-00491,393,2,14897.37,2,2,2,222,6,Lost Customers
CUST-00492,13,9,132920.90125,5,5,5,555,15,Champions
CUST-00493,372,5,15733.61,2,4,2,242,8,Needs Attention
CUST-00494,758,1,638.8,1,1,1,111,3,Lost Customers
CUST-00497,7,18,224234.37125,5,5,5,555,15,Champions
CUST-00499,784,2,25568.12,1,2,3,123,6,Needs Attention
CUST-00500,211,5,45336.48,3,4,4,344,11,Loyal Customers
CUST-00501,107,10,123210.71125000001,4,5,5,455,14,Champions
CUST-00502,42,4,85591.0025,4,4,5,445,13,Champions
CUST-00503,56,3,18488.4,4,3,3,433,10,Loyal Customers
CUST-00504,334,3,37560.950000000004,3,3,3,333,9,Loyal Customers
CUST-00505,75,5,139280.4525,4,4,5,445,13,Champions
CUST-00507,675,3,42769.84,1,3,4,134,8,At Risk
CUST-00508,30,1,3339.93,5,1,1,511,7,Potential Loyalists
CUST-00509,49,4,26328.03,4,4,3,443,11,Loyal Customers
CUST-00510,407,1,2584.72,2,1,1,211,4,Lost Customers
CUST-00514,40,19,158454.33125000002,5,5,5,555,15,Champions
CUST-00516,354,1,2001.38,3,1,1,311,5,Needs Attention
CUST-00517,1084,1,26629.78,1,1,3,113,5,Needs Attention
CUST-00518,78,1,14391.17,4,1,2,412,7,Potential Loyalists
CUST-00519,446,2,42643.61125,2,2,4,224,8,Needs Attention
CUST-00520,32,6,120482.70125,5,5,5,555,15,Champions
CUST-00521,55,6,75399.22,4,5,4,454,13,Champions
CUST-00523,8,4,19678.09,5,4,3,543,12,Loyal Customers
CUST-00524,391,2,5007.16,2,2,2,222,6,Lost Customers
CUST-00525,50,8,128499.10125,4,5,5,455,14,Champions
CUST-00528,272,2,29068.29,3,2,3,323,8,Needs Attention
CUST-00529,82,4,26686.62,4,4,3,443,11,Loyal Customers
CUST-00531,89,3,53610.60125000001,4,3,4,434,11,Loyal Customers
CUST-00533,279,1,3315.23,3,1,1,311,5,Needs Attention
CUST-00534,12,2,41923.04125,5,2,4,524,11,Potential Loyalists
CUST-00535,769,1,1625.32,1,1,1,111,3,Lost Customers
CUST-00536,1066,1,4050.23,1,1,1,111,3,Lost Customers
CUST-00537,314,2,16081.52,3,2,2,322,7,Needs Attention
CUST-00538,10,73,894917.9762500001,5,5,5,555,15,Champions
CUST-00542,714,1,41346.911250000005,1,1,4,114,6,Needs Attention
CUST-00543,179,4,45755.57000000001,3,4,4,344,11,Loyal Customers
CUST-00545,53,1,15580.65,4,1,2,412,7,Potential Loyalists
CUST-00546,23,3,51841.85125000001,5,3,4,534,12,Loyal Customers
CUST-00549,209,2,5073.6,3,2,2,322,7,Needs Attention
CUST-00550,3,45,606884.51625,5,5,5,555,15,Champions
CUST-00551,149,6,45974.600000000006,3,5,4,354,12,Loyal Customers
CUST-00552,1,6,69455.20125000001,5,5,4,554,14,Champions
CUST-00553,81,10,151098.3725,4,5,5,455,14,Champions
CUST-00554,681,1,931.1,1,1,1,111,3,Lost Customers
CUST-00555,32,6,74357.86,5,5,4,554,14,Champions
CUST-00556,227,10,101630.2,3,5,5,355,13,Loyal Customers
CUST-00558,1091,1,2347.08,1,1,1,111,3,Lost Customers
CUST-00559,25,9,106233.53125,5,5,5,555,15,Champions
CUST-00562,58,5,95714.08,4,4,5,445,13,Champions
CUST-00563,1077,1,2050.22,1,1,1,111,3,Lost Customers
CUST-00568,16,2,10125.89,5,2,2,522,9,Potential Loyalists
CUST-00569,739,1,7874.42,1,1,2,112,4,Lost Customers
CUST-00570,450,1,4671.35,2,1,1,211,4,Lost Customers
CUST-00571,7,4,29746.519999999997,5,4,3,543,12,Loyal Customers
CUST-00572,813,2,38341.5,1,2,3,123,6,Needs Attention
CUST-00573,77,3,23274.629999999997,4,3,3,433,10,Loyal Customers
CUST-00574,402,4,17526.190000000002,2,4,3,243,9,At Risk
CUST-00575,897,1,4454.29,1,1,1,111,3,Lost Customers
CUST-00576,84,1,12279.5,4,1,2,412,7,Potential Loyalists
CUST-00579,294,1,11807.78,3,1,2,312,6,Needs Attention
CUST-00583,11,10,98185.49125,5,5,5,555,15,Champions
CUST-00584,347,3,80831.17125000001,3,3,5,335,11,Loyal Customers
CUST-00585,345,4,73525.29125000001,3,4,4,344,11,Loyal Customers
CUST-00586,854,1,3421.8,1,1,1,111,3,Lost Customers
CUST-00587,1056,1,1908.48,1,1,1,111,3,Lost Customers
CUST-00588,1055,1,21699.93,1,1,3,113,5,Needs Attention
CUST-00589,23,3,45184.18,5,3,4,534,12,Loyal Customers
CUST-00590,396,1,1507.61,2,1,1,211,4,Lost Customers
CUST-00591,209,4,53025.86,3,4,4,344,11,Loyal Customers
CUST-00594,664,2,8138.049999999999,1,2,2,122,5,Lost Customers
CUST-00596,2,271,3166936.37,5,5,5,555,15,Champions
CUST-00597,97,4,34792.280000000006,4,4,3,443,11,Loyal Customers
CUST-00598,561,3,42676.801250000004,2,3,4,234,9,At Risk
CUST-00599,326,2,36444.9,3,2,3,323,8,Needs Attention
CUST-00601,1093,1,19109.74,1,1,3,113,5,Needs Attention
CUST-00602,11,6,25889.059999999998,5,5,3,553,13,Loyal Customers
